"dc_pf_status","democracy_filter","dependent_variable","control_variable_set","extension_type","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
FALSE,"BMR","Protest_DRS_Count_CNTS","M1","1",-0.484341142666496,0.713259861838028,0.497104375315859,235,FALSE,FALSE
FALSE,"BMR","Protest_DRS_Count_CNTS","M2","1",-0.776154085153701,1.01660028788401,0.445177128396096,166,FALSE,FALSE
FALSE,"BMR","Protest_DRS_Count_CNTS","M3","1",-1.50726172542734,1.02740334580299,0.14235990016809,178,FALSE,FALSE
FALSE,"BMR","Protest_Count_MM","M1","1",4.60737951576486,1.310276429493,0.000437537649368431,90,TRUE,TRUE
FALSE,"BMR","Protest_Count_MM","M2","1",4.01218174074174,1.3959173352155,0.00405019174854451,90,TRUE,TRUE
FALSE,"BMR","Protest_Count_MM","M3","1",3.80917009386565,1.34384239696822,0.00458922397675854,90,TRUE,TRUE
FALSE,"V-Dem","Protest_DRS_Count_CNTS","M1","1",0.0344716254021072,0.54489394834713,0.949557079103136,286,FALSE,FALSE
FALSE,"V-Dem","Protest_DRS_Count_CNTS","M2","1",-0.376549673508892,0.665445174790607,0.571488069416554,200,FALSE,FALSE
FALSE,"V-Dem","Protest_DRS_Count_CNTS","M3","1",-0.662961049575083,0.651771539496273,0.309073591763982,217,FALSE,FALSE
FALSE,"V-Dem","Protest_Count_MM","M1","1",1.22127782787255,0.607255755551929,0.0443104124873968,112,TRUE,TRUE
FALSE,"V-Dem","Protest_Count_MM","M2","1",1.30111817161167,0.656664747446826,0.047545983101779,112,TRUE,TRUE
FALSE,"V-Dem","Protest_Count_MM","M3","1",1.22272326001884,0.61015487884114,0.0450748214093779,112,TRUE,TRUE
FALSE,"Polity","Protest_DRS_Count_CNTS","M1","1",0.169811979164968,0.495381855136324,0.73175639933129,301,FALSE,FALSE
FALSE,"Polity","Protest_DRS_Count_CNTS","M2","1",-0.0725229505324014,0.651275681610092,0.911334663871418,209,FALSE,FALSE
FALSE,"Polity","Protest_DRS_Count_CNTS","M3","1",-0.16723728966326,0.629163491266955,0.790386346739989,226,FALSE,FALSE
FALSE,"Polity","Protest_Count_MM","M1","1",1.10634737939779,0.713440215596327,0.120968339648542,118,FALSE,FALSE
FALSE,"Polity","Protest_Count_MM","M2","1",1.18766131290949,0.735311512322219,0.106271465858557,118,FALSE,FALSE
FALSE,"Polity","Protest_Count_MM","M3","1",0.974526604199043,0.727035950312192,0.180111931742002,118,FALSE,FALSE
