"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","v2xnp_client",1.43804333722106,0.262276223567775,4.12371325699951e-07,205,TRUE,TRUE
"BMR","M1","v2xnp_client","","v2xnp_client",0.221564093807999,0.296034217705606,0.45623631402065,205,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2xnp_client",1.47740224506422,0.260875898378494,4.89717883129427e-08,216,TRUE,TRUE
"BMR","M3","v2xnp_client","","v2xnp_client",0.195408399112014,0.289024944837061,0.499734145311905,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",1.7704582097488,0.718270264287523,0.0203553915051385,76,TRUE,TRUE
"BMR","M2","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.168942921180629,0.592451846596271,0.777698443050165,76,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",1.2732157560941,0.311280722478992,6.25385145815457e-05,216,TRUE,TRUE
"BMR","M4","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.161270676733487,0.301761916675591,0.593647966951026,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2xnp_regcorr",1.37716115401687,0.278362918837211,3.69516365843993e-06,210,TRUE,TRUE
"BMR","M1","v2xnp_regcorr","","v2xnp_regcorr",0.370834348664315,0.263931998711715,0.163612085750249,210,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2xnp_regcorr",1.40777566673678,0.274389483479506,6.60572374022224e-07,216,TRUE,TRUE
"BMR","M3","v2xnp_regcorr","","v2xnp_regcorr",0.370598422958989,0.259124248912346,0.154161249862372,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",1.77827107954211,0.717578109786225,0.0197519929372129,77,TRUE,TRUE
"BMR","M2","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.0255391657730644,0.818106658830428,0.975325783656711,77,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",1.26942089699341,0.312233794407644,6.89463422289011e-05,216,TRUE,TRUE
"BMR","M4","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.0747788137991807,0.30284635948868,0.805225449074906,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2x_corr",1.36622294451204,0.280393812097488,4.97739011441029e-06,209,TRUE,TRUE
"BMR","M1","v2x_corr","","v2x_corr",0.410005347073446,0.2793155450522,0.14578125049369,209,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2x_corr",1.40119397566069,0.275804821738451,8.36265172891538e-07,216,TRUE,TRUE
"BMR","M3","v2x_corr","","v2x_corr",0.437829441252041,0.27474712528711,0.112551083566454,216,FALSE,FALSE
