"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M4","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.662136895449716,1.28355820118676,0.606526769645539,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2x_execorr",0.798123565584098,0.872269827668929,0.362752063416581,210,FALSE,FALSE
"BMR","M1","v2x_execorr","","v2x_execorr",0.267007699689886,0.264647734694309,0.315844532646504,210,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:v2x_execorr","","v2x_execorr",0.85906978225961,1.11750834673337,0.444155575541537,210,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2x_execorr",0.848650300290092,0.855896479534885,0.322582446012021,216,FALSE,FALSE
"BMR","M3","v2x_execorr","","v2x_execorr",0.273161988694531,0.260378875391845,0.295358063139431,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:v2x_execorr","","v2x_execorr",0.829259472990711,1.09866058962892,0.451231966676022,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",0.988078009981732,1.33543472612157,0.465750536081352,77,FALSE,FALSE
"BMR","M2","v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.0668326824895623,0.932504032824134,0.943392692697077,77,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",1.14133407956554,2.57318585429525,0.660902780628599,77,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",0.444761027858691,0.850520442776519,0.601609107093575,216,FALSE,FALSE
"BMR","M4","v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",-0.0930971004283569,0.303851916060305,0.759630562440802,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:v2x_execorr","+debt+partisan_cons+factor(period_dummies72)","v2x_execorr",1.19232216146505,1.09587078160379,0.277916157798249,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2x_pubcorr",1.113945399753,0.791793673951633,0.163071569686999,209,FALSE,FALSE
"BMR","M1","v2x_pubcorr","","v2x_pubcorr",0.318907016272879,0.272664768908458,0.245395827105264,209,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:v2x_pubcorr","","v2x_pubcorr",0.435176825514898,1.0776373129205,0.687343853470854,209,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2x_pubcorr",1.18516462886084,0.778317184258511,0.129353013109274,216,FALSE,FALSE
"BMR","M3","v2x_pubcorr","","v2x_pubcorr",0.368013677716787,0.268036758897502,0.171239660850821,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:v2x_pubcorr","","v2x_pubcorr",0.37214875828423,1.06311898879167,0.726654262660163,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",1.14710400610916,0.654360515542979,0.0909484303429259,77,FALSE,TRUE
"BMR","M2","v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.176596558232592,0.982185472533438,0.858652507137659,77,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",1.4120917519639,1.45316583099343,0.339808071515541,77,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.883741025168282,0.800535617108045,0.270956771370211,216,FALSE,FALSE
"BMR","M4","v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.0834237855209091,0.284197593434771,0.76941640012374,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:v2x_pubcorr","+debt+partisan_cons+factor(period_dummies72)","v2x_pubcorr",0.60869217833017,1.09529030776644,0.579018986436449,216,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","v2xnp_client",0.109618527704006,1.00697331612754,0.91354121279644,251,FALSE,FALSE
"V-Dem","M1","v2xnp_client","","v2xnp_client",-0.129646076793437,0.30709840995099,0.673848843478037,251,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:v2xnp_client","","v2xnp_client",2.33148418040882,1.51471227294344,0.127038937739961,251,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","v2xnp_client",0.202949828377581,0.974829838974475,0.835244977960406,267,FALSE,FALSE
"V-Dem","M3","v2xnp_client","","v2xnp_client",-0.125328205963781,0.292580155737285,0.668751238664707,267,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2:v2xnp_client","","v2xnp_client",2.25888679952367,1.48688061646146,0.129934098819537,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.211507715697001,0.960566277385117,0.827039477282443,106,FALSE,FALSE
"V-Dem","M2","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.30620972661579,0.480589668095083,0.528291724086207,106,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",3.50472692489208,1.7018670056581,0.0471853559616244,106,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.0199680064036669,0.947576305278759,0.983204468852929,267,FALSE,FALSE
"V-Dem","M4","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.222685763164523,0.267425061472042,0.405817501024939,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",2.3615037579908,1.45922852057374,0.106854711163526,267,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","v2xnp_regcorr",0.643898971325389,0.939548527160159,0.494788472244537,256,FALSE,FALSE
"V-Dem","M1","v2xnp_regcorr","","v2xnp_regcorr",0.209199145097265,0.264863279009596,0.431568853479993,256,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:v2xnp_regcorr","","v2xnp_regcorr",1.21446490618887,1.19935530346507,0.313797533074859,256,FALSE,FALSE
